rank,title,rating,year
1,쇼생크 탈출,9.2,1994
2,Daeboo,9.2,1972
3,다크 나이트,9.0,2008
4,The Godfather Part II,9.0,1974
5,12명의 성난 사람들,9.0,1957
6,쉰들러 리스트,8.9,1993
7,반지의 제왕: 왕의 귀환,8.9,2003
8,펄프 픽션,8.8,1994
9,반지의 제왕: 반지 원정대,8.8,2001
10,석양의 무법자,8.8,1966
11,포레스트 검프,8.8,1994
12,파이트 클럽,8.7,1999
13,The Lord of the Rings: The Two Towers,8.7,2002
14,인셉션,8.7,2010
15,스타워즈 에피소드 5 - 제국의 역습,8.7,1980
16,매트릭스,8.7,1999
17,좋은 친구들,8.7,1990
18,뻐꾸기 둥지 위로 날아간 새,8.6,1975
19,세븐,8.6,1995
20,멋진 인생,8.6,1946
21,7인의 사무라이,8.6,1954
22,양들의 침묵,8.6,1991
23,라이언 일병 구하기,8.6,1998
24,시티 오브 갓,8.6,2002
25,인터스텔라,8.6,2014
26,La vita è bella,8.6,1997
27,그린 마일,8.6,1999
28,Star Wars,8.5,1977
29,Terminator 2: Judgment Day,8.5,1991
30,빽 투 더 퓨쳐,8.5,1985
31,센과 치히로의 행방불명,8.5,2001
32,피아니스트,8.5,2002
33,싸이코,8.5,1960
34,Gisaengchung,8.5,2019
35,레옹,8.5,1994
36,글래디에이터,8.5,2000
37,라이온 킹,8.5,1994
38,아메리칸 히스토리 X,8.5,1998
39,디파티드,8.5,2006
40,위플래쉬,8.5,2014
41,프레스티지,8.5,2006
42,유주얼 서스펙트,8.5,1995
43,카사블랑카,8.5,1942
44,반딧불이의 묘,8.5,1988
45,Seppuku,8.5,1962
46,언터처블: 1%의 우정,8.5,2011
47,모던 타임즈,8.4,1936
48,원스 어폰 어 타임 인 더 웨스트,8.4,1968
49,시네마 천국,8.4,1988
50,이창,8.4,1954
51,에이리언,8.4,1979
52,City Lights,8.4,1931
53,지옥의 묵시록,8.4,1979
54,메멘토,8.4,2000
55,장고: 분노의 추적자,8.4,2012
56,레이더스,8.4,1981
57,월-E,8.4,2008
58,타인의 삶,8.4,2006
59,Sunset Blvd.,8.4,1950
60,Paths of Glory,8.4,1957
61,샤이닝,8.4,1980
62,The Great Dictator,8.4,1940
63,어벤져스: 인피니티 워,8.4,2018
64,Witness for the Prosecution,8.4,1957
65,Aliens,8.3,1986
66,스파이더맨: 뉴 유니버스,8.3,2018
67,아메리칸 뷰티,8.3,1999
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1964
69,Dakeu naiteu raijeu,8.3,2012
70,바스터즈: 거친 녀석들,8.3,2009
71,Oldeuboi,8.3,2003
72,아마데우스,8.3,1984
73,코코,8.3,2017
74,Toy Story,8.3,1995
75,Braveheart,8.3,1995
76,조커,8.3,2019
77,The Boat,8.3,1981
78,어벤져스: 엔드게임,8.3,2019
79,Mononoke-hime,8.3,1997
80,굿 윌 헌팅,8.3,1997
81,원스 어폰 어 타임 인 아메리카,8.3,1984
82,Neoui Ileum-eun.,8.3,2016
83,사랑은 비를 타고,8.3,1952
84,세 얼간이,8.3,2009
85,레퀴엠,8.3,2000
86,천국과 지옥,8.3,1963
87,토이 스토리 3,8.3,2010
88,가버나움,8.3,2018
89,Star Wars: Episode VI - Return of the Jedi,8.3,1983
90,2001: A Space Odyssey,8.3,1968
91,이터널 선샤인,8.3,2004
92,컴 앤 씨,8.3,1985
93,저수지의 개들,8.3,1992
94,더 헌트,8.3,2012
95,Lawrence of Arabia,8.2,1962
96,시민 케인,8.2,1941
97,M - Eine Stadt sucht einen Mörder,8.2,1931
98,이키루,8.2,1952
99,Bugbugseolo Jinloleul Dollyeola,8.2,1959
100,The Apartment,8.2,1960
101,Hyeongijeung,8.2,1958
102,아멜리에,8.2,2001
103,Double Indemnity,8.2,1944
104,시계태엽 오렌지,8.2,1971
105,Metal jaket,8.2,1987
106,스카페이스,8.2,1983
107,그을린 사랑,8.2,2010
108,히트,8.2,1995
109,Hamilton,8.2,2020
110,업,8.2,2009
111,To Kill a Mockingbird,8.2,1962
112,The Sting,8.2,1973
113,Jodaeiye Nader az Simin,8.2,2011
114,Metropolis,8.2,1927
115,다이 하드,8.2,1988
116,L.A. Confidential,8.2,1997
117,Indiana Jones and the Last Crusade,8.2,1989
118,Taxi Driver,8.2,1976
119,Snatch,8.2,2000
120,Bicycle Thieves,8.2,1948
121,Like Stars on Earth,8.2,2007
122,1917,8.2,2019
123,탑건: 매버릭,8.2,2022
124,Downfall,8.2,2004
125,Dangal,8.2,2016
126,For a Few Dollars More,8.2,1965
127,배트맨 비긴즈,8.2,2005
128,The Kid,8.2,1921
129,Some Like It Hot,8.2,1959
130,더 파더,8.2,2020
131,더 울프 오브 월 스트리트,8.2,2013
132,Eveeui Modeun Gut,8.2,1950
133,그린 북,8.2,2018
134,뉘른베르크의 재판,8.2,1961
135,Ran,8.2,1985
136,카지노,8.2,1995
137,트루먼 쇼,8.2,1998
138,데어 윌 비 블러드,8.2,2007
139,판의 미로 - 오필리아와 세 개의 열쇠,8.2,2006
140,Unforgiven,8.2,1992
141,셔터 아일랜드,8.2,2010
142,식스 센스,8.2,1999
143,Jyuragi gongwon,8.2,1993
144,A Beautiful Mind,8.2,2001
145,Yôjinbô,8.1,1961
146,The Treasure of the Sierra Madre,8.1,1948
147,Monty Python and the Holy Grail,8.1,1975
148,Guardians of the Galaxy Vol. 3,8.1,2023
149,노인을 위한 나라는 없다,8.1,2007
150,킬 빌,8.1,2003
151,The Great Escape,8.1,1963
152,라쇼몽,8.1,1950
153,The Thing,8.1,1982
154,Finding Nemo,8.1,2003
155,스파이더맨: 노 웨이 홈,8.1,2021
156,The Elephant Man,8.1,1980
157,Chinatown,8.1,1974
158,브이 포 벤데타,8.1,2005
159,Raging Bull,8.1,1980
160,바람과 함께 사라지다,8.1,1939
161,Dial M for Murder,8.1,1954
162,"Lock, Stock and Two Smoking Barrels",8.1,1998
163,인사이드 아웃,8.1,2015
164,Howlui umjikineun seong,8.1,2004
165,El Sikeuleto: Bimil-ui Nundongja,8.1,2009
166,쓰리 빌보드,8.1,2017
167,Trainspotting,8.1,1996
168,The Bridge on the River Kwai,8.1,1957
169,프리즈너스,8.1,2013
170,파고,8.1,1996
171,Warrior,8.1,2011
172,그랜 토리노,8.1,2008
173,캐치 미 이프 유 캔,8.1,2002
174,Tonari no Totoro,8.1,1988
175,밀리언 달러 베이비,8.1,2004
176,Children of Heaven,8.1,1997
177,블레이드 러너,8.1,1982
178,The Gold Rush,8.1,1925
179,클라우스,8.1,2019
180,Haeri Poteowa jugeumui seongmul - 2bu,8.1,2011
181,비포 선라이즈,8.1,1995
182,12 Years a Slave,8.1,2013
183,Ben-Hur,8.1,1959
184,The Grand Budapest Hotel,8.1,2014
185,On the Waterfront,8.1,1954
186,Gone Girl,8.1,2014
187,The General,8.1,1926
188,Barry Lyndon,8.1,1975
189,Smultronstället,8.1,1957
190,In the Name of the Father,8.1,1993
191,The Deer Hunter,8.1,1978
192,핵소 고지,8.1,2016
193,The Third Man,8.1,1949
194,Le salaire de la peur,8.1,1953
195,Salinui chueok,8.1,2003
196,Sherlock Jr.,8.1,1924
197,Waildeu Teiljeu: Cham-eul Su Eobsneun Sungan,8.1,2014
198,Mr. Smith Goes to Washington,8.1,1939
199,매드맥스: 분노의 도로,8.1,2015
200,Mary and Max,8.1,2009
201,죽은 시인의 사회,8.1,1989
202,드래곤 길들이기,8.1,2010
203,"Monsters, Inc.",8.1,2001
204,The Seventh Seal,8.1,1957
205,죠스,8.1,1975
206,Room,8.1,2015
207,위대한 레보스키,8.1,1998
208,동경 이야기,8.1,1953
209,Ford v Ferrari,8.1,2019
210,La passion de Jeanne d'Arc,8.1,1928
211,Hotel Rwanda,8.0,2004
212,록키,8.0,1976
213,라따뚜이,8.0,2007
214,Platoon,8.0,1986
215,John Wick: Chapter 4,8.0,2023
216,로건,8.0,2017
217,스포트라이트,8.0,2015
218,터미네이터,8.0,1984
219,Stand by Me,8.0,1986
220,Rush,8.0,2013
221,Network,8.0,1976
222,Before Sunset,8.0,2004
223,오즈의 마법사,8.0,1939
224,Into the Wild,8.0,2007
225,The Best Years of Our Lives,8.0,1946
226,엑소시스트: 디렉터스 컷,8.0,1973
227,사랑의 블랙홀,8.0,1993
228,The Incredibles,8.0,2004
229,La haine,8.0,1995
230,To Be or Not to Be,8.0,1942
231,캐리비안의 해적: 블랙펄의 저주,8.0,2003
232,The Grapes of Wrath,8.0,1940
233,Hachi: A Dog's Tale,8.0,2009
234,La battaglia di Algeri,8.0,1966
235,Pather Panchali,8.0,1955
236,Jai Bhim,8.0,2021
237,Amores perros,8.0,2000
238,Babam ve Oglum,8.0,2005
239,Ahgassi,8.0,2016
240,Rebecca,8.0,1940
241,Cool Hand Luke,8.0,1967
242,사운드 오브 뮤직,8.0,1965
243,The 400 Blows,8.0,1959
244,어느 날 밤에 생긴 일,8.0,1934
245,Persona,8.0,1966
246,Life of Brian,8.0,1979
247,The Iron Giant,8.0,1999
248,헬프,8.0,2011
249,알라딘,8.0,1992
250,Dances with Wolves,8.0,1990
