시즌,제목,리뷰수,평점,줄거리
1,12:00 a.m.-1:00 a.m.,"3,048",8.2,Jack Bauer is called to his office because there's a threat on the life of a US Senator who's running for President; Jack also discovers that his daughter has skipped out her bedroom window.
1,1:00 a.m.-2:00 a.m.,"2,286",8.2,An assassin has stolen the ID of a photographer scheduled to meet a presidential candidate; Jack's wife searches for their daughter; Jack gets more evidence of a rogue within his unit.
1,2:00 a.m.-3:00 a.m.,"2,121",8.1,Jack thinks he's identified the mole inside CTU. Kim and Janet realize they are being kidnapped and try to escape. Palmer orders an employee to get dirt on a reporter who might jeopardize his campaign. Ira Gaines' plans come to a halt when he must renegotiate with a conspirator.
1,3:00 a.m.-4:00 a.m.,"2,003",8.1,District Director George Mason (Berkely) shuts down CTU forcing Jack to escape in order to follow up on a lead on a conspirator. Nina and Jamie try to cover for him. Palmer discovers how a reporter found out about Keith. Jack finally learns that Kim and Janet have been kidnapped.
1,4:00 a.m.-5:00 a.m.,"1,907",8.1,Jack follows the arrested conspirator to the police station in order to get more info on Kim's whereabouts. Palmer meets with a reporter who has some damaging information. Kim realizes just how dangerous Ira Gaines really is.
1,5:00 a.m.-6:00 a.m.,"1,933",8.4,Jack meets up with Teri at the hospital where they wait to talk to Janet about Kim. Palmer confronts his family about the cover up.
1,6:00 a.m.-7:00 a.m.,"1,915",8.5,Jack returns to CTU to switch the key card with a fake per Gaines' orders. Palmer tries to convince Keith and Sherry to go public about the murder.
1,7:00 a.m.-8:00 a.m.,"1,877",8.6,Jack delivers the briefcase to the assassin at Palmer's press conference. Palmer wants to let the press know what happened with Keith and the murder.
1,8:00 a.m.-9:00 a.m.,"1,814",8.3,Jack is taken into custody by the Secret Service after he stops the assassination. He quickly escapes in order to check on another name from the key card. Palmer tries to deal with the assassination attempt.
1,9:00 a.m.-10:00 a.m.,"1,911",8.1,Jack is on the run after escaping custody and rushes to intercept Ted Cofell before he leaves the city. Nina receives a phone call from Teri and tries to trace the call. Palmer still wants to go ahead with the press conference despite objections. Alberta Green temporarily takes over as Director of CTU.
1,10:00 a.m.-11:00 a.m.,"1,782",8.4,"Jack takes Ted Cofell hostage after finding his name on the key-card and tries to get whatever info he has about the conspiracy which only amounts to the name of another conspirator, a one Kevin Carroll. Palmer starts to piece together his connection to Jack. Gaines receives orders to kill Teri and Kim from his boss Andre Drazen."
1,11:00 a.m.-12:00 p.m.,"1,797",8.6,"Jack closes in on his family's location; a suspicious Green confronts Nina and Tony, and separates them for interrogation; Palmer learns just how far his backers are willing to go."
1,12:00 p.m.-1:00 p.m.,"1,749",8.4,Jack has a final confrontation with Gaines as a CTU chopper heads to the compound. Nina and Tony talk to Jamey's mother in order to learn why she was helping the assassins. Carl Webb threatens Palmer to keep quiet about the murder once and for all. CTU learns that more assassins are on their way to LA.
1,1:00 p.m.-2:00 p.m.,"1,700",8.0,Director Green and Regional Director Ryan Chappelle question Jack about the day's events. Nina takes Kim and Teri to a safe house after getting them medical attention. Palmer wants a meeting with Jack.
1,2:00 p.m.-3:00 p.m.,"1,712",8.1,Palmer and Jack finally meet for the first time and discuss Operation Nightfall. Nina talks to Teri about her and Jack's past relationship after they reach the safehouse.
1,3:00 p.m.-4:00 p.m.,"1,701",7.9,"After handing out photos of all the assassins, Jack and Mason discover that one of Palmer's campaign staff is in a romantic relationship with Alexis Drazen. Teri and Kim are attacked in the safehouse. Keith confronts Carl Webb about the cover-up."
1,4:00 p.m.-5:00 p.m.,"1,680",8.1,Jack and Mason use Palmer's campaign staffer Elizabeth Nash in a sting against Alexis Drazen which backfires badly on them. Kim makes a run for Rick's house after getting separated from Teri following the attack.
1,5:00 p.m.-6:00 p.m.,"1,640",8.0,"Jack poses as Alexis Drazen and goes to meet a contact who has vital information. However, a CTU agent with a grudge against Jack might risk the success of the mission. Dr. Parslow takes Teri back to the Bauer house."
1,6:00 p.m.-7:00 p.m.,"1,660",8.2,Jack and Mason search for location of the address found in Victor Drazen's confidential file. Palmer finally lets the press know about Keith's past. One of Drazen's goons closes in on Teri; Kim is arrested after the police raid Rick's house.
1,7:00 p.m.-8:00 p.m.,"1,667",8.5,Jack discovers a top secret detention center houses someone from his past. Tony takes Teri back to CTU as Kim finds herself in jail. Andre Drazen and his soldiers raid the detention center.
1,8:00 p.m.-9:00 p.m.,"1,626",8.2,Jack is captured by Victor Drazen and Andre when they escape the detention center. Palmer learns he is dominating the California polls. Drazen's men capture Kim after she is released from jail.
1,9:00 p.m.-10:00 p.m.,"1,627",8.2,In order to buy himself more time Jack puts Victor and Andre in contact via Mason with a hospitalized Alexis Drazen. Palmer becomes involved with a campaign staffer. Tony and Nina learn that Kim has been recaptured.
1,10:00 p.m.-11:00 p.m.,"1,769",8.8,Jack delivers a cell phone that is unknowingly rigged to explode to Palmer. Kim manages to escape. The identity of the real mole inside CTU is exposed.
1,11:00 p.m.-12:00 a.m.,"2,463",9.3,"After being falsely informed his daughter has been killed, the enraged Jack Bauer goes to the dock to kill the Drazens whilst the traitor at CTU tries to make a quick escape."
2,Day 2: 8:00 a.m.-9:00 a.m.,"1,738",8.2,"Retired federal agent Jack Bauer is pulled back into field work after CTU learns of an impending nuclear attack in Los Angeles, while Kim's new job as a nanny takes an unexpected turn for the worse."
2,Day 2: 9:00 a.m.-10:00 a.m.,"1,527",8.0,"Jack goes undercover to find Joseph Wald, where he learns that CTU is going to be bombed. While Kim tries to save Meghan from her abusive father, Gary. Kate Warner becomes suspicious of sister's Middle-Eastern fiancé."
2,Day 2: 10:00 a.m.-11:00 a.m.,"1,529",8.6,Jack sends out a warning that CTU is the target of a terrorist attack. Director Mason leaves CTU to personally check up on a lead on the nuclear bomb's location.
2,Day 2: 11:00 a.m.-12:00 p.m.,"1,485",8.5,CTU is attacked and faces serious casualties. Jack discovers who gave Joseph Wald the schematics for CTU. President Palmer fires Rayburn after Kresge tells him about the 30-minute gap between Jack's warning and the bomb explosion.
2,Day 2: 12:00 p.m.-1:00 p.m.,"1,451",8.1,Mason and Jack make preparations to interrogate an old enemy who gave the terrorists access to CTU. Tony goes to the Warner household to check up on Reza's possible connection to Syed Ali.
2,Day 2: 1:00 p.m.-2:00 p.m.,"1,445",8.3,Jack takes charge of the Nina Meyers interrogation. Sherry returns with information on the conspiracy against President Palmer.
2,Day 2: 2:00 p.m.-3:00 p.m.,"1,462",8.5,"Jack boards a plane with Nina Meyers and several FBI agents because they have to meet a contact in Visalia,California who has info on the bomb's location. Nina tries to escape after meeting the contact. President Palmer and Mike Novick try to ascertain NSA Director Stanton's loyalty. Mason tries to make contact with his estranged son. Tony takes Bob Warner and Reza to CTU for further questioning."
2,Day 2: 3:00 p.m.-4:00 p.m.,"1,433",8.3,Jack and Nina try to get more information out of her contact on the way back to LA. Tony learns of Bob Warner's status as a CIA contractor. Stanton expresses concerns about Sherry's presence as she tries to make a deal with a detained reporter.
2,Day 2: 4:00 p.m.-5:00 p.m.,"1,467",8.7,The plane carrying Jack and Nina is shot down and together they must fight off a group of soldiers. Mason plays Bob Warner against Reza to find out which one working with the terrorists. Kate Warner is captured and interrogated by Syed Ali. Mason reveals the truth of his condition to Tony.
2,Day 2: 5:00 p.m.-6:00 p.m.,"1,446",8.7,"Jack is captured by Nina Meyers and used as leverage in an attempt to get a presidential pardon. President Palmer learns the identity of one of the conspirators in his administration. After being set free, Reza learns the identity of the person who set him up when he goes to get incriminating evidence on Bob. Jack begins to suspect the soldiers who shot him down were with the NSA as he heads to capture Syed Ali."
2,Day 2: 6:00 p.m.-7:00 p.m.,"1,420",8.3,Kate Warner leads Jack on mission to locate and id Syed Ali. President Palmer places Stanton under arrest and makes an out of character decision on how to handle the interrogation. CTU discovers that Marie killed Reza and the two agents trailing him.
2,Day 2: 7:00 p.m.-8:00 p.m.,"1,454",8.7,Jack tries to get information out of Syed Ali. Mason gets Bob Warner to reveal some previously classified history on Marie that paints Reza's murder in a new light. Lynne Kresge becomes suspicious of Sherry.
2,Day 2: 8:00 p.m.-9:00 p.m.,"1,414",8.4,Jack discovers the bodies of six additional Coral Snake Commandos as a Tactical Team gets closer to the bomb's location. Division sends in Brad Hammond to look into CTU LA's situation. Stanton finally reveals that he has known about the bomb all along and allowed it be smuggled into the country.
2,Day 2: 9:00 p.m.-10:00 p.m.,"1,413",8.4,Jack and Kate try to get Marie to reveal the exact location of the bomb in the airfield. Mason steps down as Director after his condition worsens. President Palmer confronts Sherry.
2,Day 2: 10:00 p.m.-11:00 p.m.,"1,812",9.1,Jack must deal with the nuclear bomb at the airport. CTU discovers a recording implicating that Sayed Ali is supported by three presidents of Middle-Eastern countries.
2,Day 2: 11:00 p.m.-12:00 a.m.,"1,409",8.3,"Jack gets back to CTU after the bomb exploded. The situation there is tense since Tony became head of the Unit, especially when a key witness is assassinated. President Palmer and his staff prepare a retaliation on the three countries involved with Ali."
2,Day 2: 12:00 a.m.-1:00 a.m.,"1,380",8.0,Jack and Kate leave CTU to meet with the lone surviving member of the Coral Snake Commandos who says he has evidence that the tape is fake. President Palmer wants to wait and see what Jack finds out before launching a retaliatory strike.
2,Day 2: 1:00 a.m.-2:00 a.m.,"1,401",8.5,"Jack, Kate, and Yousef try to get Wallace to a hospital after he gets shot by unknown assailants. President Palmer tries to deal with civil unrest as Muslim communities across the country are targeted."
2,Day 2: 2:00 a.m.-3:00 a.m.,"1,417",8.3,Jack is captured by a group of men working for an oil magnate named Peter Kingsley who's looking to capitalize on the coming war. Lynne Kresge discovers that Vice-President Prescott is planning on seizing the presidency by way of the 25th Amendment. President Palmer deals with some increasingly impatient Joint Chiefs of Staff. Kate and Yusef are attacked by angry American citizens when they try to get the chip behind the Ali recording back to CTU.
2,Day 2: 3:00 a.m.-4:00 a.m.,"1,419",8.5,Jack tries to escape from the Kingsley's men after being tortured. Lynn Kresge tries to warn President Palmer about VP Prescott. Regional Director Ryan Chappelle returns to CTU and exerts his authority. Kate tries to retrieve the stolen computer chip. President Palmer begins to suspect something is wrong when Prescott won't return his phone calls.
2,Day 2: 4:00 a.m.-5:00 a.m.,"1,410",8.6,After saving Kate from her attackers Jack heads to meet Alex Hewitt who may be the person who designed the computer chip. President Palmer's ability to the run the country is questioned when the Vice-President and members of the cabinet invoke the 25th Amendment.
2,Day 2: 5:00 a.m.-6:00 a.m.,"1,386",8.6,Jack discovers that Shery Palmer is somehow involved in the conspiracy when he tries to talk to Alex Hewitt. Tony and Michelle make a critical decision on how to handle the Chappelle situation.
2,Day 2: 6:00 a.m.-7:00 a.m.,"1,410",8.6,Jack has Sherry contact Peter Kingsley who turns out to be the mastermind behind the tape. Mike Novick realizes that he has made a huge error in judgment in supporting Prescott. Deputy Regional Director Brad Hammond places Tony and Michelle under arrest.
2,Day 2: 7:00 a.m.-8:00 a.m.,"1,696",9.0,"Jack and Sherry head to LA Coliseum to meet Peter Kingsley. Upon hearing evidence via the live audio feed, President Prescott aborts the air strike. David Palmer is reinstated as President, and speaks to the nation about the nuclear bomb."
3,Day 3: 1:00 p.m.-2:00 p.m.,"1,520",8.0,Three years later; CTU receives a threat that Mexican drug lord Hector Salazar is planning on releasing a deadly contagious virus in LA unless Jack gets his brother Ramone Salazar out of prison. President Palmer prepares for a presidential debate with Senator John Keeler.
3,Day 3: 2:00 p.m.-3:00 p.m.,"1,333",7.9,After Goss' infected body is dropped at the hospital Jack and Chase begin to trace his last known locations while CTU tries to figure out how the virus is gonna be unleashed to the public at large. Once they figure out it's gonna be spread through cocaine shipments CTU begins to track down drug dealers in East LA. President Palmer considers canceling the debate.
3,Day 3: 3:00 p.m.-4:00 p.m.,"1,321",8.3,Tony and one of Salazar's cronies close in on a young drug trafficker who may be unknowingly carrying the virus. Jack informs Kyle Singer's parents that he may be infected. Wayne becomes concerned over David's latest affair when he learns the woman's ex-husband will perjure himself over sworn testimony he gave years earlier unless the President pays him not to.
3,Day 3: 4:00 p.m.-5:00 p.m.,"1,320",8.3,In order to get Ramon out of prison Jack asks for President Palmer's permission to instigate a prison riot. Michelle takes over command of CTU after Tony is injured. Chase disobeys orders and fiercely interrogates Ramon as Jack puts his plan into motion. President Palmer has Wayne call off the meeting with Anne's ex-husband. Drug dealer Kyle Singer is captured by Salazar's men.
3,Day 3: 5:00 p.m.-6:00 p.m.,"1,299",8.4,"Jack and Ramon are captured by dangerous prison inmates after trying to escape. President Palmer begins his debate with Senator Keeler. At CTU, Chloe O'Brian discovers evidence of Jack's heroin addiction."
3,Day 3: 6:00 p.m.-7:00 p.m.,"1,291",8.2,Jack and Ramon try evade military helicopters when they make a run for a plane scheduled to leave for Mexico. Palmer cancels the debate. Kyle Singer learns that he is not infected with the virus. Kim discovers that Gael Ortega might be working with the Salazars.
3,Day 3: 7:00 p.m.-8:00 p.m.,"1,312",8.6,Ramon holds Jack hostage as they fly down to Mexico. Regional Director Chappelle interrogates Gael; Tony returns prematurely to CTU to reveal Gael's true allegiance. Chase disobeys orders and heads for Mexico to rescue Jack.
3,Day 3: 8:00 p.m.-9:00 p.m.,"1,269",8.3,Jack tries to regain the Salazars' trust when they make it to Mexico. President Palmer is angry with Tony over being left out of a secret operation. Chase is captured by Salazar's men.
3,Day 3: 9:00 p.m.-10:00 p.m.,"1,258",8.1,A snag in the sale of the virus leads the Salazars to question Jack's motivations and as a result they put his allegiances to the test. Claudia works to help Chase escape after Jack informs her of his real priorities. Tony's ability to run CTU is called into question. Palmer is put into a difficult position regarding his brother.
3,Day 3: 10:00 p.m.-11:00 p.m.,"1,257",8.3,"In order to get closer to the virus, Jack tries to make Nina believe he still has feelings for her. Wayne tries to gain the trust of Julia Milliken when Alan Milliken starts making demands. Chase convinces Salazar's girlfriend to help him escape."
3,Day 3: 11:00 p.m.-12:00 a.m.,"1,243",8.2,"Jack and Nina prepare to meet with Amador, the man selling the virus; CTU organizes an ambush. Ramon and Hector have a falling out. President Palmer asks his ex wife Sherry to help with the Milliken situation."
3,Day 3: 12:00 a.m.-1:00 a.m.,"1,255",8.5,Jack and Nina are double-crossed when Ramon steals the virus during the exchange with Amador. Sherry gains a short-lived advantage in dealing with Alan Milliken.
3,Day 3: 1:00 a.m.-2:00 a.m.,"1,257",8.5,Nina releases a deadly computer virus into CTU's systems after getting captured by Jack and Chase. Sherry runs out of options and decides to directly confront Alan Milliken but things go too far. Chloe and the rest of the tech crew work overtime to combat the virus.
3,Day 3: 2:00 a.m.-3:00 a.m.,"1,311",8.7,Regional Director Chappelle forces Jack to undergo a medical evaluation for his heroin addiction. Tony interrogates Nina Meyers. Julia Milliken confronts Sherry after Alan dies while Wayne and President Palmer prepare for the fallout. Nina tries to escape custody after collapsing during the interrogation.
3,Day 3: 3:00 a.m.-4:00 a.m.,"1,250",8.4,Amador and his people receive orders from their client to release the virus in the Chandler Plaza Hotel. Jack closes in on Amador but it's too late. Michelle and Gael alert the Chandler's Chief of Security to the dangers of the threat.
3,Day 3: 4:00 a.m.-5:00 a.m.,"1,270",8.7,"After the interrogation goes nowhere, Jack and Chase let Amador escape hoping he will lead them to his client's location. Michelle places the hotel under quarantine and must make a difficult decision in how to handle the ensuing panic. President Palmer is put into a awkward position when handling the Milliken situation."
3,Day 3: 5:00 a.m.-6:00 a.m.,"1,262",8.6,President Palmer gives into Stephen Saunders's strange demand of placing an seemingly nondescript phrase into a speech in the hopes of delaying another viral outbreak. Michelle takes control of the situation inside the hotel. Jack and Chase bring a suspect to the local branch of MI-6 as Saunders launches an attack on the building.
3,Day 3: 6:00 a.m.-7:00 a.m.,"1,587",9.1,Jack has to comply with another one of Saunders' demands: the death of Regional Director Ryan Chappelle. Michelle discovers that one of the infected hotel patrons got out before the quarantine was enforced.
3,Day 3: 7:00 a.m.-8:00 a.m.,"1,244",8.4,When CTU learns that Saunders has a daughter attending an LA university they must inform Jack the only match for a bait and switch operation is Kim Bauer. Chase tracks down the man who escaped the hotel quarantine. Palmer informs his cabinet on the dangers of the threat.
3,Day 3: 8:00 a.m.-9:00 a.m.,"1,214",8.4,Jack works on using Saunders' daughter in an attempt to gain control of the virus. Michelle waits to find out if she's infected. Palmer navigates around a angry and confused press. Saunders starts making demands on Tony.
3,Day 3: 9:00 a.m.-10:00 a.m.,"1,238",8.4,Tony works covertly to find a way to get Jane Saunders out of CTU and deliver her to Saunders before Jack and Chase find him. Senator Keeler receives some damaging information on President Palmer from a surprising source.
3,Day 3: 10:00 a.m.-11:00 a.m.,"1,283",8.8,Jack and Tony clash as they wait for the time of hostage exchange with Saunders. Senator Keeler confronts President Palmer about the Milliken cover-up while Wayne initiates a secret operation against Sherry.
3,Day 3: 11:00 a.m.-12:00 p.m.,"1,273",8.7,Jack and Chase try to track down the location of vials containing the virus. Wayne breaks into Sherry's house to get incriminating evidence as a paranoid Julia Milliken confronts Sherry.
3,Day 3: 12:00 p.m.-1:00 p.m.,"1,426",8.9,Jack and Chase corner Saunders' henchman Arthur Rabens in an active public school. Tony faces losing command of CTU and treason charges for saving Michelle. An emotionally broken President Palmer decides to drop out of the race for reelection.
4,Season 4 Prequel,726,8.0,"In the closing moments of Day 3, Jack Bauer gets into his car and breaks down in tears after everything he has endured. He gets a call to report back to CTU, and, after a moment, acknowledges and drives away."
4,Day 4: 7:00 a.m.-8:00 a.m.,"1,389",8.3,"A train collides with a truck filled with explosives. A man is shot. Over the phone, Jack Bauer hears the screams of his kidnapped sweetheart."
4,Day 4: 8:00 a.m.-9:00 a.m.,"1,251",8.0,"Jack is in trouble with his supervisor, and he's on the trail of a killer."
4,Day 4: 9:00 a.m.-10:00 a.m.,"1,210",8.0,Jack trails a suspect while his supervisor has ordered C.T.U. to bring both of them in.
4,Day 4: 10:00 a.m.-11:00 a.m.,"1,220",8.1,Jack creates a faux-hostage crisis in a convenience store trapping Kalil and several innocent bystanders to buy Chloe more time to get the surveillance satellite working properly. Dina murders Behrooz's girlfriend after she becomes suspicious. Audrey and Secretary Heller try to escape.
4,Day 4: 11:00 a.m.-12:00 p.m.,"1,206",8.1,"Jack and Director Driscoll agree to a truce and work together after the police make a mistake in handling the Kalil situation, which means that Jack also has to find a new lead. The terrorists begin to threaten Audrey unless Heller confesses to ""war crimes"" on camera in an hour."
4,Day 4: 12:00 p.m.-1:00 p.m.,"1,216",8.5,Jack initiates a fierce gun battle with the terrorists as he races to rescue Audrey and Secretary Heller before the military strike. Dina is shocked to learn that Navi and Marwan plan to have Behrooz killed. Secretary Heller learns his son is a suspect and allows the interrogation to continue. Curtis Manning learns that the briefcase stolen from the train bombing contains a Dobson Override that could potentially give terrorists control of America's 104 nuclear plants.
4,Day 4: 1:00 p.m.-2:00 p.m.,"1,179",8.4,"Jack takes Audrey into the field in order to ID a suspect she recognizes from the compound, but the terrorists learn where they are and pin them down. Jack calls on an old friend to escape. Dina tries to get to Behrooz before Navi does. Edgar Stiles works overtime to get back control of 87 to 98 nuclear plants by taking their systems off-line before the Override gets to them."
4,Day 4: 2:00 p.m.-3:00 p.m.,"1,183",8.4,"Jack and Audrey hide out with Tony Almeida after escaping from the terrorists and learn the man they are looking for is an employee for McClennan-Forrester. Behrooz takes Dina to the hospital to get medical attention. President Keeler orders six cities to be evacuated. Secretary Heller tries to flush out the mole in CTU, but the evidence points in the wrong direction."
4,Day 4: 3:00 p.m.-4:00 p.m.,"1,151",8.3,Jack and Tony stumble on to Dina and Behrooz's trail after a key suspect has been assassinated. Edgar tries all he can to get his mother out of the fallout zone of the San Gabriel Island nuclear power station. Driscoll and Curtis cover their tracks following the revelation about Marianne. Navi closes in on Behrooz when he tries to get medication for Dina.
4,Day 4: 4:00 p.m.-5:00 p.m.,"1,155",8.0,"Jack races to save Behrooz from his father when the situation turns into a hostage crisis. Dina points Jack and Tony to a safe-house where they find evidence that points to Paul Raines' involvement with the terrorists. Marianne leads Curtis to a computer that contains info on the terrorists, but Curtis feels like it could be a trap."
